name
18 de Septiembre
21 de Mayo
7 de Junio
Acceso A Aico
Acceso a Sahuara
Acceso a Taltape
Andrés Manzanares
Antonio Wimbor
Bernalaardo aves Ch.
Bernalaardo O'Higgins
Cabildo
Callejn Candelaria
Camino a la Laguna Roja
Camino a Mulluri
Camino a Poder de Compra
Dmaso Mamani
Doctor Juan Noe
El Carmen
El Morro
Florencio Flores
Jos Miguel Carrera
Jos Toms Gmez
La Candelaria
Las Cruces
Las Estaciónes
Los Cateadores
Manuel Rodrguez
Marcos Flores
Ruta 5 Norte
Ruta A-306
Ruta A-307
Ruta A-315
Ruta A-319
Ruta A-321
Ruta A-323
Ruta A-325
Ruta A-329
Ruta A-331
Ruta A-345
Ruta A-35
Ruta A-353
Ruta A-355
Ruta A-387
San Martn de Porres
San Pedro
